subject,word,order,judgment,judgment_z
subject10,permissionist,42,1,-1.7755994
subject10,predifferentiation,43,7,0.907926141
subject10,enviability,44,7,0.907926141
subject10,spindliness,45,1,-1.7755994
subject10,nonretaliation,46,7,0.907926141
subject10,doctrinalism,47,2,-1.328345143
subject10,selectorship,48,6,0.460671885
subject10,solicitorship,49,6,0.460671885
subject10,abdominally,50,7,0.907926141
subject10,nondigression,51,7,0.907926141
subject10,precommunion,52,5,0.013417628
subject10,superoriginal,53,1,-1.7755994
subject10,spikiness,54,2,-1.328345143
subject10,preillumination,55,4,-0.433836629
subject10,nonelimination,56,4,-0.433836629
subject10,interoccasional,57,1,-1.7755994
subject10,unavailable,58,7,0.907926141
subject10,nondissension,59,4,-0.433836629
subject10,preventionist,60,7,0.907926141
subject10,overbulbous,61,7,0.907926141
subject10,overglorious,62,2,-1.328345143
subject10,legislatorship,63,7,0.907926141
subject10,conductorship,64,6,0.460671885
subject10,substitutionist,65,7,0.907926141
subject10,preinstitution,66,3,-0.881090886
subject10,preincarceration,67,7,0.907926141
subject10,visualizer,68,7,0.907926141
subject10,collectorship,69,3,-0.881090886
subject10,successorship,70,4,-0.433836629
subject10,overnervous,71,2,-1.328345143
subject10,triumphally,72,1,-1.7755994
subject10,injectional,73,5,0.013417628
subject10,preseduction,74,6,0.460671885
subject10,beadiness,75,7,0.907926141
subject10,disposability,76,7,0.907926141
subject10,appreciational,77,3,-0.881090886
subject10,refrigeratorship,78,2,-1.328345143
subject10,preabortion,79,5,0.013417628
subject10,foxiness,80,7,0.907926141
subject10,intermonumental,81,4,-0.433836629
subject10,disseminationist,82,5,0.013417628
subject10,preomission,83,6,0.460671885
subject10,superintegral,84,2,-1.328345143
subject10,preconnection,85,7,0.907926141
subject10,accidentalize,86,1,-1.7755994
subject10,nonincursion,87,6,0.460671885
subject10,pastorally,88,7,0.907926141
subject10,incisorship,89,2,-1.328345143
subject10,precondescension,90,2,-1.328345143
subject10,remedialism,91,7,0.907926141
subject10,preemission,92,7,0.907926141
subject10,overperilous,93,7,0.907926141
subject10,overcavernous,94,7,0.907926141
subject10,nonarticulation,95,7,0.907926141
subject10,emotionist,96,2,-1.328345143
subject10,fusionist,97,7,0.907926141
subject10,noncrucifixion,98,7,0.907926141
subject10,rebellionist,99,1,-1.7755994
subject10,noncohesion,100,7,0.907926141
subject100,noncohesion,1,5,-0.197908063
subject100,rebellionist,2,5,-0.197908063
subject100,noncrucifixion,3,5,-0.197908063
subject100,fusionist,4,5,-0.197908063
subject100,emotionist,5,5,-0.197908063
subject100,nonarticulation,6,4,-1.058377904
subject100,overcavernous,7,4,-1.058377904
subject100,overperilous,8,5,-0.197908063
subject100,preemission,9,2,-2.779317585
subject100,remedialism,10,4,-1.058377904
subject100,precondescension,11,3,-1.918847744
subject100,incisorship,12,3,-1.918847744
subject100,pastorally,13,6,0.662561777
subject100,nonincursion,14,4,-1.058377904
subject100,accidentalize,15,6,0.662561777
subject100,preconnection,16,4,-1.058377904
subject100,superintegral,17,3,-1.918847744
subject100,preomission,18,6,0.662561777
subject100,disseminationist,19,5,-0.197908063
subject100,intermonumental,20,5,-0.197908063
subject100,foxiness,21,6,0.662561777
subject100,preabortion,22,5,-0.197908063
subject100,refrigeratorship,23,3,-1.918847744
subject100,appreciational,24,3,-1.918847744
subject100,disposability,25,7,1.523031618
subject100,beadiness,26,3,-1.918847744
subject100,preseduction,27,5,-0.197908063
subject100,injectional,28,5,-0.197908063
subject100,triumphally,29,5,-0.197908063
subject100,overnervous,30,4,-1.058377904
subject100,successorship,31,6,0.662561777
subject100,collectorship,32,5,-0.197908063
subject100,visualizer,33,7,1.523031618
subject100,preincarceration,34,6,0.662561777
subject100,preinstitution,35,5,-0.197908063
subject100,substitutionist,36,6,0.662561777
subject100,conductorship,37,7,1.523031618
subject100,legislatorship,38,4,-1.058377904
subject100,overglorious,39,5,-0.197908063
subject100,overbulbous,40,5,-0.197908063
subject100,preventionist,41,6,0.662561777
subject100,nondissension,42,4,-1.058377904
subject100,unavailable,43,7,1.523031618
subject100,interoccasional,44,4,-1.058377904
subject100,nonelimination,45,6,0.662561777
subject100,preillumination,46,5,-0.197908063
subject100,spikiness,47,6,0.662561777
subject100,superoriginal,48,6,0.662561777
subject100,precommunion,49,5,-0.197908063
subject100,nondigression,50,5,-0.197908063
subject100,abdominally,51,7,1.523031618
subject100,solicitorship,52,6,0.662561777
subject100,selectorship,53,5,-0.197908063
subject100,doctrinalism,54,5,-0.197908063
subject100,nonretaliation,55,6,0.662561777
subject100,spindliness,56,5,-0.197908063
subject100,enviability,57,6,0.662561777
subject100,predifferentiation,58,5,-0.197908063
subject100,permissionist,59,6,0.662561777
subject100,overgorgeous,60,6,0.662561777
subject100,interlogical,61,6,0.662561777
subject100,negotiational,62,6,0.662561777
subject100,perpetratorship,63,5,-0.197908063
subject100,intercolloquial,64,6,0.662561777
subject100,tropicalize,65,6,0.662561777
subject100,pretensionist,66,5,-0.197908063
subject100,nondomination,67,6,0.662561777
subject100,accountability,68,7,1.523031618
subject100,oppressorship,69,6,0.662561777
subject100,nonerosion,70,5,-0.197908063
subject100,nontermination,71,5,-0.197908063
subject100,unacceptable,72,7,1.523031618
subject100,suctionist,73,5,-0.197908063
subject100,nonprovision,74,5,-0.197908063
subject100,pelvically,75,3,-1.918847744
subject100,cageiness,76,7,1.523031618
subject100,oversynonymous,77,5,-0.197908063
subject100,overtedious,78,5,-0.197908063
subject100,absorptional,79,6,0.662561777
subject100,depressionist,80,7,1.523031618
subject100,submemorial,81,5,-0.197908063
subject100,desocialize,82,6,0.662561777
subject100,imitational,83,6,0.662561777
subject100,cataclysmically,84,3,-1.918847744
subject100,nonposition,85,5,-0.197908063
subject100,nonabolition,86,5,-0.197908063
subject100,preinstruction,87,5,-0.197908063
subject100,unobtainable,88,6,0.662561777
subject100,herbally,89,6,0.662561777
subject100,unallowable,90,7,1.523031618
subject100,overzealous,91,7,1.523031618
subject100,avoidability,92,6,0.662561777
subject100,inscriptional,93,5,-0.197908063
subject100,preautomation,94,5,-0.197908063
subject100,murkiness,95,7,1.523031618
subject100,preprohibition,96,6,0.662561777
subject100,surveyorship,97,7,1.523031618
subject100,decoratorship,98,3,-1.918847744
subject100,depublicize,99,5,-0.197908063
subject100,archetypally,100,3,-1.918847744
subject102,noncohesion,1,5,0.663176637
subject102,rebellionist,2,1,-1.393185028
subject102,noncrucifixion,3,1,-1.393185028
subject102,fusionist,4,5,0.663176637
subject102,emotionist,5,3,-0.365004195
subject102,nonarticulation,6,4,0.149086221
subject102,overcavernous,7,5,0.663176637
subject102,overperilous,8,4,0.149086221
subject102,preemission,9,2,-0.879094612
subject102,remedialism,10,3,-0.365004195
subject102,precondescension,11,4,0.149086221
subject102,incisorship,12,2,-0.879094612
subject102,pastorally,13,6,1.177267053
subject102,nonincursion,14,7,1.691357469
subject102,accidentalize,15,1,-1.393185028
subject102,preconnection,16,5,0.663176637
subject102,superintegral,17,6,1.177267053
subject102,preomission,18,3,-0.365004195
subject102,disseminationist,19,3,-0.365004195
subject102,intermonumental,20,2,-0.879094612
subject102,foxiness,21,5,0.663176637
subject102,preabortion,22,2,-0.879094612
subject102,refrigeratorship,23,1,-1.393185028
subject102,appreciational,24,1,-1.393185028
subject102,disposability,25,7,1.691357469
subject102,beadiness,26,5,0.663176637
subject102,preseduction,27,2,-0.879094612
subject102,injectional,28,5,0.663176637
subject102,triumphally,29,2,-0.879094612
subject102,overnervous,30,3,-0.365004195
subject102,successorship,31,7,1.691357469
subject102,collectorship,32,4,0.149086221
subject102,visualizer,33,5,0.663176637
subject102,preincarceration,34,6,1.177267053
subject102,preinstitution,35,3,-0.365004195
subject102,substitutionist,36,5,0.663176637
subject102,conductorship,37,6,1.177267053
subject102,legislatorship,38,3,-0.365004195
subject102,overglorious,39,3,-0.365004195
subject102,overbulbous,40,3,-0.365004195
subject102,preventionist,41,7,1.691357469
subject102,nondissension,42,6,1.177267053
subject102,unavailable,43,7,1.691357469
subject102,interoccasional,44,2,-0.879094612
subject102,nonelimination,45,3,-0.365004195
subject102,preillumination,46,3,-0.365004195
subject102,spikiness,47,5,0.663176637
subject102,superoriginal,48,3,-0.365004195
subject102,precommunion,49,3,-0.365004195
subject102,nondigression,50,4,0.149086221
subject102,abdominally,51,7,1.691357469
subject102,solicitorship,52,5,0.663176637
subject102,selectorship,53,4,0.149086221
subject102,doctrinalism,54,7,1.691357469
subject102,nonretaliation,55,5,0.663176637
subject102,spindliness,56,3,-0.365004195
subject102,enviability,57,5,0.663176637
subject102,predifferentiation,58,3,-0.365004195
subject102,permissionist,59,2,-0.879094612
subject102,overgorgeous,60,1,-1.393185028
subject102,interlogical,61,2,-0.879094612
subject102,negotiational,62,2,-0.879094612
subject102,perpetratorship,63,1,-1.393185028
subject102,intercolloquial,64,4,0.149086221
subject102,tropicalize,65,1,-1.393185028
subject102,pretensionist,66,3,-0.365004195
subject102,nondomination,67,2,-0.879094612
subject102,accountability,68,7,1.691357469
subject102,oppressorship,69,3,-0.365004195
subject102,nonerosion,70,2,-0.879094612
subject102,nontermination,71,2,-0.879094612
subject102,unacceptable,72,7,1.691357469
subject102,suctionist,73,2,-0.879094612
subject102,nonprovision,74,2,-0.879094612
subject102,pelvically,75,1,-1.393185028
subject102,cageiness,76,4,0.149086221
subject102,oversynonymous,77,2,-0.879094612
subject102,overtedious,78,2,-0.879094612
subject102,absorptional,79,3,-0.365004195
subject102,depressionist,80,1,-1.393185028
subject102,submemorial,81,1,-1.393185028
subject102,desocialize,82,4,0.149086221
subject102,imitational,83,2,-0.879094612
subject102,cataclysmically,84,7,1.691357469
subject102,nonposition,85,3,-0.365004195
